 ID Ιατρού |   Επώνυμο Ιατρού   | Όνομα Ιατρού | Επίπεδο Ιεραρχίας | Κωδικός Επόπτη |   Επώνυμο Επόπτη   | Όνομα Επόπτη | Βαθμίδα Επόπτη 
       159 | Γαβριδάκης         | Αδάμ         |                 1 |             60 | Βούλκος            | Ερρίκος      | Διευθυντής
       160 | Αργυρόπουλος       | Τερψιχόρη    |                 1 |             28 | Ευαγγελάτος        | Ιάσονας      | Διευθυντής
       161 | Τζιωρτζή           | Ερωφίλη      |                 1 |             16 | Χρονόπουλος        | Γαλάτεια     | Διευθυντής
       162 | Σπορδιλής          | Δημοκράτης   |                 1 |             43 | Κιορίδου           | Ροδαμάνθη    | Διευθυντής
       163 | Ανανιάδου          | Μεταξία      |                 1 |             39 | Στυλιανίδου        | Αρχιμήδης    | Διευθυντής
       164 | Μποτζιώρη          | Αφροδίτη     |                 1 |             39 | Στυλιανίδου        | Αρχιμήδης    | Διευθυντής
       165 | Ποσάντζη           | Αλκιβιάδης   |                 1 |             70 | Μπαφίτη            | Ιερεμίας     | Διευθυντής
       166 | Πέτσας             | Μακρίνα      |                 1 |             38 | Μαμαλά             | Γαβριήλ      | Διευθυντής
       167 | Ακαλίδης           | Νικολέτα     |                 1 |             60 | Βούλκος            | Ερρίκος      | Διευθυντής
       168 | Σταμούλης          | Βερόνικα     |                 1 |             59 | Μιχελακάκη         | Βησσαρίων    | Διευθυντής
       169 | Σαμανίδης          | Λάμπρος      |                 1 |             36 | Ψυχιάς             | Ουρανία      | Διευθυντής
       170 | Πίσσιος            | Λουκάς       |                 1 |             66 | Σαλέμη             | Θεολογία     | Διευθυντής
       171 | Μανιάτη            | Δωροθέα      |                 1 |             66 | Σαλέμη             | Θεολογία     | Διευθυντής
       172 | Σκούμπρου          | Χρυσαυγή     |                 1 |             71 | Πάντζιου           | Πανδώρα      | Διευθυντής
       173 | Αποστολίδης        | Ευδοξία      |                 1 |             52 | Οικονόμου          | Παρθένα      | Διευθυντής
       174 | Τζιωρτζή           | Λάμπρος      |                 1 |             51 | Ανδρουλιδάκης      | Νικητία      | Διευθυντής
       175 | Δημητρίου          | Στεφανία     |                 1 |              4 | Μπαρκούτα          | Πρόδρομος    | Διευθυντής
       176 | Γεωργούλα          | Νίκος        |                 1 |             70 | Μπαφίτη            | Ιερεμίας     | Διευθυντής
       177 | Κετεσίδου          | Άριστος      |                 1 |              8 | Μπίλλας            | Παντελεήμων  | Διευθυντής
       178 | Χριστοπούλου       | Ιουλιανός    |                 1 |             60 | Βούλκος            | Ερρίκος      | Διευθυντής
       179 | Παπασπηλιωτοπούλου | Ιερόθεος     |                 1 |             25 | Βούκας             | Ζαχαρένια    | Διευθυντής
       180 | Πικούνης           | Σαμουήλ      |                 1 |              2 | Καλαργυρός         | Μελέτιος     | Διευθυντής
       181 | Τορομίδης          | Παυσανίας    |                 1 |             56 | Παπαδάκης          | Γιάννης      | Διευθυντής
       182 | Αργυρίου           | Θεοδόσιος    |                 1 |             64 | Ξανθοπούλου        | Ινώ          | Διευθυντής
       183 | Αρχαυλής           | Φιλοθέη      |                 1 |             78 | Σιμητοπούλου       | Κλεόβουλος   | Διευθυντής
       184 | Αντωνόπουλος       | Βαλέριος     |                 1 |             15 | Κιοσές             | Τιμοθέα      | Διευθυντής
       185 | Λιναρδάκη          | Αγόρω        |                 1 |             56 | Παπαδάκης          | Γιάννης      | Διευθυντής
       186 | Φιλιππόπουλος      | Παναγιώτα    |                 1 |             10 | Κεσκίνη            | Γερακίνα     | Διευθυντής
       187 | Γιαννέλος          | Αγγελική     |                 1 |             34 | Καραγρηγορίου      | Χαραλαμπία   | Διευθυντής
       188 | Κονσούλα           | Ιππολύτη     |                 1 |             70 | Μπαφίτη            | Ιερεμίας     | Διευθυντής
       189 | Φειδερόπουλος      | Κλεομένης    |                 1 |             20 | Δρυμαλίτου         | Ζαχαρένια    | Διευθυντής
       190 | Μπαλαμπάνη         | Θουκυδίδης   |                 1 |              7 | Αγγελίδου          | Κυριάκος     | Διευθυντής
       191 | Νίκα               | Αρίσταρχος   |                 1 |             72 | Σταμούλη           | Παγώνα       | Διευθυντής
       192 | Μιχελή             | Πανταζής     |                 1 |             26 | Κερασοβίτης        | Αρέθα        | Διευθυντής
       193 | Γούλα              | Φώτιος       |                 1 |             53 | Ζηρός              | Αντίπατρος   | Διευθυντής
       194 | Δουκατζής          | Αντιγόνη     |                 1 |             31 | Βαλτάς             | Ροδόκλεια    | Διευθυντής
       195 | Σγουρένα           | Νικολέτα     |                 1 |             36 | Ψυχιάς             | Ουρανία      | Διευθυντής
       196 | Μίχος              | Ήλια         |                 1 |             24 | Μπακοστεργίου      | Μαλβίνα      | Διευθυντής
       197 | Ματεντσίδου        | Ρηγούλα      |                 1 |             20 | Δρυμαλίτου         | Ζαχαρένια    | Διευθυντής
       198 | Παναγιωτακόπουλος  | Ιπποκράτης   |                 1 |             40 | Μασαούτη           | Στυλιανή     | Διευθυντής
       199 | Φρογάκης           | Πελοπίδας    |                 1 |             24 | Μπακοστεργίου      | Μαλβίνα      | Διευθυντής
       200 | Πέππας             | Νικηφόρος    |                 1 |              1 | Τουρναβίτης        | Ανδρονίκη    | Διευθυντής
       201 | Κονιάρη            | Χιονιά       |                 1 |              5 | Δουλάμης           | Προδρομία    | Διευθυντής
       202 | Μαυρούτσος         | Γενοβέφα     |                 1 |             79 | Χουλιάρας          | Λητώ         | Διευθυντής
       203 | Ζιώγος             | Θεοπίστη     |                 1 |              6 | Καπούνης           | Ηρόδοτος     | Διευθυντής
       204 | Παπανδρέου         | Περικλής     |                 1 |             75 | Διοπούλου          | Διονυσία     | Διευθυντής
       205 | Συρμού             | Γαρυφαλλιά   |                 1 |             68 | Βουλγαρίδου        | Απόλλων      | Διευθυντής
       206 | Γιασημάκης         | Αθηνόδωρος   |                 1 |             17 | Χουρζαμάνη         | Ξανθή        | Διευθυντής
       207 | Αποστολίδης        | Ζηναϊς       |                 1 |             11 | Γεωργιάδου         | Μαριγώ       | Διευθυντής
       208 | Κατιρτζής          | Στέλλιος     |                 1 |             14 | Κατσανίκου         | Πολύβια      | Διευθυντής
       209 | Τριανταφύλλου      | Ανδρονίκη    |                 1 |             27 | Τολούδης           | Ανδρονίκη    | Διευθυντής
       210 | Σιγανός            | Αγγελική     |                 1 |              8 | Μπίλλας            | Παντελεήμων  | Διευθυντής
       211 | Καρβέλη            | Ευσεβεία     |                 1 |             63 | Γούλα              | Αλεξάνδρα    | Διευθυντής
       212 | Ιωσηφίδης          | Μαύρα        |                 1 |             17 | Χουρζαμάνη         | Ξανθή        | Διευθυντής
       213 | Τορομίδης          | Κασσιανή     |                 1 |             86 | Χατζελλής          | Ελισάβετ     | Διευθυντής
       214 | Σουλιντζής         | Ιάκωβος      |                 1 |             18 | Προύβα             | Λουκία       | Διευθυντής
       215 | Κονιδάρης          | Δομήνικος    |                 1 |             31 | Βαλτάς             | Ροδόκλεια    | Διευθυντής
       216 | Βραδή              | Σταμάτιος    |                 1 |              6 | Καπούνης           | Ηρόδοτος     | Διευθυντής
       217 | Τσιομπάνη          | Θεώνη        |                 1 |             16 | Χρονόπουλος        | Γαλάτεια     | Διευθυντής
       218 | Ζώη                | Τατιάνα      |                 1 |             16 | Χρονόπουλος        | Γαλάτεια     | Διευθυντής
       219 | Σάουερ             | Νικηφόρος    |                 1 |             65 | Αναστασόπουλος     | Πέτρα        | Διευθυντής
       220 | Δραμουντάνη        | Συμεώνη      |                 1 |             33 | Ρουπακάς           | Βλασία       | Διευθυντής
       221 | Καραντζόπουλος     | Θαλασσινή    |                 1 |             64 | Ξανθοπούλου        | Ινώ          | Διευθυντής
       222 | Παπατρέχας         | Χρυσάνθη     |                 1 |             60 | Βούλκος            | Ερρίκος      | Διευθυντής
       223 | Κωνσταντόπουλος    | Ίκαρος       |                 1 |             90 | Σιμητοπούλου       | Ηλίας        | Διευθυντής
       224 | Κανελλόπουλος      | Λήδα         |                 1 |             79 | Χουλιάρας          | Λητώ         | Διευθυντής
       225 | Πλακωτάρης         | Γερασιμούλα  |                 1 |             50 | Τόμπρη             | Κυπριανή     | Διευθυντής
       226 | Σάουερ             | Μόσχα        |                 1 |              7 | Αγγελίδου          | Κυριάκος     | Διευθυντής
       227 | Μανίκας            | Μικές        |                 1 |             17 | Χουρζαμάνη         | Ξανθή        | Διευθυντής
       228 | Φωκαδελής          | Βικτόρια     |                 1 |             76 | Γιαννούκος         | Κατερίνα     | Διευθυντής
       229 | Κοφινάκη           | Δρόσος       |                 1 |              1 | Τουρναβίτης        | Ανδρονίκη    | Διευθυντής
       230 | Αναστασόπουλος     | Δράκων       |                 1 |             63 | Γούλα              | Αλεξάνδρα    | Διευθυντής
       231 | Καρκαλέτση         | Κανέλλα      |                 1 |             13 | Θεοχάρης           | Μαγδαληνός   | Διευθυντής
       232 | Σγουρένα           | Νεφέλη       |                 1 |              3 | Τριφτανίδου        | Γαρυφαλλιά   | Διευθυντής
       233 | Φουτσιτζής         | Υάκινθος     |                 1 |             85 | Αβραμιώτης         | Περιστέρα    | Διευθυντής
       234 | Πουλημένος         | Στεφανία     |                 1 |             24 | Μπακοστεργίου      | Μαλβίνα      | Διευθυντής
       235 | Δαγλή              | Ντανιέλα     |                 1 |             53 | Ζηρός              | Αντίπατρος   | Διευθυντής
       236 | Σελινοπούλου       | Τιμοθέα      |                 1 |             85 | Αβραμιώτης         | Περιστέρα    | Διευθυντής
       237 | Χριστόπουλος       | Βαγιανή      |                 1 |             49 | Ρήγας              | Ευλαμπία     | Διευθυντής
       238 | Μπουλούκος         | Ανθούλα      |                 1 |             18 | Προύβα             | Λουκία       | Διευθυντής
       239 | Κανταρελή          | Αδαμάντιος   |                 1 |             55 | Φυτιλή             | Σπυριδούλα   | Διευθυντής
       240 | Ξενάκη             | Νεόκλεια     |                 1 |             56 | Παπαδάκης          | Γιάννης      | Διευθυντής
       241 | Μαγκούφης          | Πολύκαρπος   |                 1 |             77 | Καρτάς             | Άλκηστις     | Διευθυντής
       242 | Χριστάκης          | Ισιδώρα      |                 1 |             42 | Μαστρογιώργης      | Αμβροσία     | Διευθυντής
       243 | Κωνσταντινίδης     | Φραντζέσκα   |                 1 |             24 | Μπακοστεργίου      | Μαλβίνα      | Διευθυντής
       244 | Ζενεμπίσης         | Νεοκλής      |                 1 |             53 | Ζηρός              | Αντίπατρος   | Διευθυντής
       245 | Μαστρογιώργης      | Φιλοθέη      |                 1 |             44 | Χατζαντώνης        | Θεολογία     | Διευθυντής
       246 | Μωρός              | Σεβαστή      |                 1 |             52 | Οικονόμου          | Παρθένα      | Διευθυντής
       247 | Ανδρεανίδης        | Μαλβίνα      |                 1 |             50 | Τόμπρη             | Κυπριανή     | Διευθυντής
       248 | Κατάκης            | Νεκτάριος    |                 1 |             35 | Τσιρώνης           | Αντιγόνη     | Διευθυντής
       249 | Πετρόπουλος        | Ηλέκτρα      |                 1 |             80 | Μαντά              | Ευτυχία      | Διευθυντής
       250 | Τζιωρτζή           | Πανορμίτης   |                 1 |             19 | Χατζηγεωργίου      | Χρυσόστομη   | Διευθυντής
       251 | Καλαργυρός         | Ερατώ        |                 1 |             38 | Μαμαλά             | Γαβριήλ      | Διευθυντής
       252 | Σγουρός            | Παναγής      |                 1 |              1 | Τουρναβίτης        | Ανδρονίκη    | Διευθυντής
       253 | Σκρέκας            | Βιολέτα      |                 1 |             40 | Μασαούτη           | Στυλιανή     | Διευθυντής
       254 | Αγγελής            | Ιερεμίας     |                 1 |             86 | Χατζελλής          | Ελισάβετ     | Διευθυντής
       255 | Τυράλης            | Ηλιάνα       |                 1 |             18 | Προύβα             | Λουκία       | Διευθυντής
       256 | Ασσαργιωτάκη       | Λογοθέτης    |                 1 |             51 | Ανδρουλιδάκης      | Νικητία      | Διευθυντής
       257 | Ξένου              | Σταμάτης     |                 1 |             68 | Βουλγαρίδου        | Απόλλων      | Διευθυντής
       258 | Ιωακείμ            | Πασχάλης     |                 1 |             12 | Μαντζουράνης       | Θεανώ        | Διευθυντής
       259 | Στεργιαλής         | Ζηνόβιος     |                 1 |              4 | Μπαρκούτα          | Πρόδρομος    | Διευθυντής
       260 | Μοσχοβάκη          | Μακάριος     |                 1 |             10 | Κεσκίνη            | Γερακίνα     | Διευθυντής
       261 | Μπαγανάς           | Μαύρος       |                 1 |             13 | Θεοχάρης           | Μαγδαληνός   | Διευθυντής
       262 | Αντωνέας           | Αταλάντη     |                 1 |             55 | Φυτιλή             | Σπυριδούλα   | Διευθυντής
       263 | Βλάσση             | Ηλιάνα       |                 1 |             70 | Μπαφίτη            | Ιερεμίας     | Διευθυντής
       264 | Τραγούστη          | Λυδία        |                 1 |             23 | Τζιώτζης           | Γιασεμή      | Διευθυντής
       265 | Γρηγορόπουλος      | Παναγία      |                 1 |             52 | Οικονόμου          | Παρθένα      | Διευθυντής
       266 | Φωτογλίδης         | Αθηνοδώρα    |                 1 |             44 | Χατζαντώνης        | Θεολογία     | Διευθυντής
       267 | Πέττα              | Νεκταρία     |                 1 |             39 | Στυλιανίδου        | Αρχιμήδης    | Διευθυντής
       268 | Πασσαλίδης         | Γενοβέφα     |                 1 |             71 | Πάντζιου           | Πανδώρα      | Διευθυντής
       269 | Τσέτου             | Πολυχρόνιος  |                 1 |             58 | Περουλάκη          | Αγαθάγγελος  | Διευθυντής
       270 | Τζουμάκης          | Μιχάλης      |                 1 |             14 | Κατσανίκου         | Πολύβια      | Διευθυντής
       271 | Καραθανάση         | Μελένια      |                 1 |            177 | Κετεσίδου          | Άριστος      | Επιμελητής Α
       271 | Καραθανάση         | Μελένια      |                 2 |              8 | Μπίλλας            | Παντελεήμων  | Διευθυντής
       272 | Αμπλιάνιτης        | Μίνωας       |                 1 |            155 | Καρκαλέτση         | Ξανθίππη     | Επιμελητής Α
       272 | Αμπλιάνιτης        | Μίνωας       |                 2 |             82 | Γαλατούλας         | Χρήστος      | Διευθυντής
       273 | Σεφέκος            | Χριστόφορος  |                 1 |            160 | Αργυρόπουλος       | Τερψιχόρη    | Επιμελητής Α
       273 | Σεφέκος            | Χριστόφορος  |                 2 |             28 | Ευαγγελάτος        | Ιάσονας      | Διευθυντής
       274 | Σπάλας             | Αριστείδης   |                 1 |             59 | Μιχελακάκη         | Βησσαρίων    | Διευθυντής
       275 | Χρυσουλής          | Δροσιά       |                 1 |            219 | Σάουερ             | Νικηφόρος    | Επιμελητής Α
       275 | Χρυσουλής          | Δροσιά       |                 2 |             65 | Αναστασόπουλος     | Πέτρα        | Διευθυντής
       276 | Μοσχόπουλος        | Γιαννούλα    |                 1 |             39 | Στυλιανίδου        | Αρχιμήδης    | Διευθυντής
       277 | Κωστόπουλος        | Θεοπίστη     |                 1 |              8 | Μπίλλας            | Παντελεήμων  | Διευθυντής
       278 | Ρωμαίου            | Δημήτριος    |                 1 |            252 | Σγουρός            | Παναγής      | Επιμελητής Α
       278 | Ρωμαίου            | Δημήτριος    |                 2 |              1 | Τουρναβίτης        | Ανδρονίκη    | Διευθυντής
       279 | Βάρσος             | Λαζαρία      |                 1 |             63 | Γούλα              | Αλεξάνδρα    | Διευθυντής
       280 | Κωστοπούλου        | Αντίγονος    |                 1 |             37 | Ταφραλή            | Λεμονής      | Διευθυντής
       281 | Ξανθάκης           | Ηράκλεια     |                 1 |            216 | Βραδή              | Σταμάτιος    | Επιμελητής Α
       281 | Ξανθάκης           | Ηράκλεια     |                 2 |              6 | Καπούνης           | Ηρόδοτος     | Διευθυντής
       282 | Χατζηγεωργίου      | Θάλεια       |                 1 |            230 | Αναστασόπουλος     | Δράκων       | Επιμελητής Α
       282 | Χατζηγεωργίου      | Θάλεια       |                 2 |             63 | Γούλα              | Αλεξάνδρα    | Διευθυντής
       283 | Θεολόγος           | Αγάπιος      |                 1 |            228 | Φωκαδελής          | Βικτόρια     | Επιμελητής Α
       283 | Θεολόγος           | Αγάπιος      |                 2 |             76 | Γιαννούκος         | Κατερίνα     | Διευθυντής
       284 | Ταμιωλάκης         | Αστέρω       |                 1 |             26 | Κερασοβίτης        | Αρέθα        | Διευθυντής
       285 | Μητσοπούλου        | Κλαίρη       |                 1 |             64 | Ξανθοπούλου        | Ινώ          | Διευθυντής
       286 | Σπανίδου           | Παρασκευή    |                 1 |            110 | Γκαλίου            | Όλγα         | Επιμελητής Α
       286 | Σπανίδου           | Παρασκευή    |                 2 |             47 | Μηλιώρης           | Ζαχαρένια    | Διευθυντής
       287 | Ψυρρή              | Αγαθή        |                 1 |             63 | Γούλα              | Αλεξάνδρα    | Διευθυντής
       288 | Παπασπηλιωτοπούλου | Ρουμπίνη     |                 1 |             11 | Γεωργιάδου         | Μαριγώ       | Διευθυντής
       289 | Θασίτου            | Ιάσων        |                 1 |            232 | Σγουρένα           | Νεφέλη       | Επιμελητής Α
       289 | Θασίτου            | Ιάσων        |                 2 |              3 | Τριφτανίδου        | Γαρυφαλλιά   | Διευθυντής
       290 | Μιλέα              | Κλεόβουλος   |                 1 |            189 | Φειδερόπουλος      | Κλεομένης    | Επιμελητής Α
       290 | Μιλέα              | Κλεόβουλος   |                 2 |             20 | Δρυμαλίτου         | Ζαχαρένια    | Διευθυντής
       291 | Βερβίτη            | Χρυσή        |                 1 |            186 | Φιλιππόπουλος      | Παναγιώτα    | Επιμελητής Α
       291 | Βερβίτη            | Χρυσή        |                 2 |             10 | Κεσκίνη            | Γερακίνα     | Διευθυντής
       292 | Νασίκας            | Ειρήνη       |                 1 |            171 | Μανιάτη            | Δωροθέα      | Επιμελητής Α
       292 | Νασίκας            | Ειρήνη       |                 2 |             66 | Σαλέμη             | Θεολογία     | Διευθυντής
       293 | Παπανδρικοπούλου   | Θεόκλητος    |                 1 |             23 | Τζιώτζης           | Γιασεμή      | Διευθυντής
       294 | Κατάκης            | Πύρρος       |                 1 |             44 | Χατζαντώνης        | Θεολογία     | Διευθυντής
       295 | Κατσιλής           | Βαρσάμος     |                 1 |            115 | Γιατρομανωλάκης    | Αυγή         | Επιμελητής Α
       295 | Κατσιλής           | Βαρσάμος     |                 2 |             87 | Τσούμος            | Βελισσάριος  | Διευθυντής
       296 | Κολαΐτου           | Αφέντρα      |                 1 |            109 | Κουρσάρης          | Φρειδερίκος  | Επιμελητής Α
       296 | Κολαΐτου           | Αφέντρα      |                 2 |             23 | Τζιώτζης           | Γιασεμή      | Διευθυντής
       297 | Λιθοξοΐδης         | Πολυκράτης   |                 1 |             41 | Αγγελίδης          | Αντιγόνη     | Διευθυντής
       298 | Βασιλειάδη         | Γαβριέλλα    |                 1 |            126 | Κωτούλα            | Νέαρχος      | Επιμελητής Α
       298 | Βασιλειάδη         | Γαβριέλλα    |                 2 |             25 | Βούκας             | Ζαχαρένια    | Διευθυντής
       299 | Λουπασάκης         | Θεολογία     |                 1 |            175 | Δημητρίου          | Στεφανία     | Επιμελητής Α
       299 | Λουπασάκης         | Θεολογία     |                 2 |              4 | Μπαρκούτα          | Πρόδρομος    | Διευθυντής
       300 | Γεωργιάδου         | Δημήτρης     |                 1 |            242 | Χριστάκης          | Ισιδώρα      | Επιμελητής Α
       300 | Γεωργιάδου         | Δημήτρης     |                 2 |             42 | Μαστρογιώργης      | Αμβροσία     | Διευθυντής
       301 | Μπαλλή             | Αγησίλαος    |                 1 |            244 | Ζενεμπίσης         | Νεοκλής      | Επιμελητής Α
