    Όνομα     |      Επώνυμο      | Έτος | Συνολικές Ημέρες 
 Ηώ           | Μάντου            | 2025 |               27
 Ηώ           | Παπαστεργίου      | 2025 |               27
 Ουρανία      | Σαββάκη           | 2025 |               27
 Βαλέριος     | Σιτόπουλος        | 2025 |               27
 Γιαννούλα    | Φαρμάκη           | 2025 |               27
 Κωνσταντία   | Χαλβατζή          | 2025 |               27
 Βενέτιος     | Αποστολόπουλος    | 2025 |               26
 Κυριακή      | Δαματοπούλου      | 2025 |               26
 Πυθαγόρας    | Καραΐσκος         | 2025 |               26
 Λουκάς       | Κυριακάκης        | 2025 |               26
 Ιορδανία     | Μπελέκου          | 2025 |               26
 Πίνδαρος     | Σκρέκας           | 2025 |               26
 Βάιος        | Χατζησταυράκης    | 2025 |               26
 Ανδρόνικος   | Δόσης             | 2025 |               25
 Οδυσσεύς     | Ισέρης            | 2025 |               25
 Καλλίνικος   | Κοττίκας          | 2025 |               25
 Βαλεντίνος   | Τριβέλλας         | 2025 |               25
 Προδρομία    | Σιδηροπούλου      | 2025 |               24
 Ιάκωβος      | Τσόλκας           | 2025 |               24
 Γιασεμή      | Φωτακοπούλου      | 2025 |               24
 Αδαμάντιος   | Χριστακόπουλος    | 2025 |               24
 Παρέσσα      | Χωρινού           | 2025 |               24
 Αγλαΐα       | Ανανιάδου         | 2025 |               23
 Διαμαντής    | Βελεντζάς         | 2025 |               23
 Ευανθία      | Ζαρζάνη           | 2025 |               23
 Ευτύχιος     | Ζηματίκας         | 2025 |               23
 Ζαχαρίας     | Μπερεδήμας        | 2025 |               23
 Κυπαρισσία   | Σεβαστού          | 2025 |               23
 Θεόκλητος    | Μανουσέλης        | 2025 |               22
 Ζήνων        | Μαρακάς           | 2025 |               22
 Δανάη        | Ντότση            | 2025 |               22
 Ξανθός       | Σμαρδάς           | 2025 |               22
 Φιλήμων      | Τσιτούρας         | 2025 |               22
 Νομική       | Καραντάνα         | 2025 |               21
 Θωμάς        | Μπερεδήμας        | 2025 |               21
 Ερμής        | Νασίκας           | 2025 |               21
 Ορέστης      | Σαουλίδης         | 2025 |               21
 Παντελεήμων  | Σκουλαρίδης       | 2025 |               21
 Κωνσταντίνος | Γεωργούλας        | 2025 |               20
 Κηρύκος      | Ελευθερίου        | 2025 |               20
 Ροδιά        | Εμμανουήλ         | 2025 |               20
 Αφέντης      | Μαντζουράνης      | 2025 |               20
 Βησσαρία     | Μασίκα            | 2025 |               20
 Νίκος        | Μπλανάς           | 2025 |               20
 Οδυσσέας     | Νταβάς            | 2025 |               20
 Ουρανία      | Πουλιάση          | 2025 |               20
 Μάρθα        | Τάντου            | 2025 |               20
 Θεοφανία     | Τσίμη             | 2025 |               20
 Σταυρούλα    | Χριστοπούλου      | 2025 |               20
 Αριστείδης   | Ανδρουλιδάκης     | 2025 |               19
 Δωροθέα      | Γρηγοριάδου       | 2025 |               19
 Φαίδων       | Ευαγγελινός       | 2025 |               19
 Μικές        | Κατσιγιάννης      | 2025 |               19
 Αίας         | Μάνδρος           | 2025 |               19
 Ροδαμάνθη    | Μιχελή            | 2025 |               19
 Ανδρομέδα    | Νίκα              | 2025 |               19
 Σωτήριος     | Νασίκας           | 2025 |               19
 Βαλάντης     | Τζέκος            | 2025 |               19
 Ερασμία      | Τζιγκούρα         | 2025 |               19
 Όθων         | Τσουκνίδας        | 2025 |               19
 Ανέστης      | Χατζησταυράκης    | 2025 |               19
 Ιοκάστη      | Χριστογιάννη      | 2025 |               19
 Καλλιρόη     | Χριστοφόρη        | 2025 |               19
 Αναγνώστης   | Βιδαλάκης         | 2025 |               18
 Φανή         | Δρακουλή          | 2025 |               18
 Νίκος        | Καναβός           | 2025 |               18
 Κυπριανός    | Κατσαρός          | 2025 |               18
 Μαρτίνος     | Λαγγούσης         | 2025 |               18
 Λαυρεντία    | Λυρή              | 2025 |               18
 Παναγιώτα    | Οικονομοπούλου    | 2025 |               18
 Αγάπιος      | Πανούσης          | 2025 |               18
 Ευστράτιος   | Σκόρδος           | 2025 |               18
 Λεώνη        | Σταματούκου       | 2025 |               18
 Παντελεήμων  | Φωτόπουλος        | 2025 |               18
 Βαλεντίνα    | Γεωργούλα         | 2025 |               17
 Μιράντα      | Ελευθερίου        | 2025 |               17
 Ηράκλεια     | Ενωτιάδη          | 2025 |               17
 Γκόλφω       | Κίτσου            | 2025 |               17
 Θεόπιστος    | Κακοσαίος         | 2025 |               17
 Βαλεντίνα    | Κουθούρη          | 2025 |               17
 Μερκούριος   | Μεταξάς           | 2025 |               17
 Φλωρεντία    | Προύβα            | 2025 |               17
 Λογοθέτης    | Ρίγκος            | 2025 |               17
 Ναθαναήλ     | Τσότρας           | 2025 |               17
 Παναγία      | Χαμαλίδου         | 2025 |               17
 Ματθίλδη     | Χασάπη            | 2025 |               17
 Ιουλία       | Χατζή             | 2025 |               17
 Στεφανία     | Βαλσαμίδου        | 2025 |               16
 Στυλιανή     | Γκόνη             | 2025 |               16
 Χριστόδουλος | Γραμματικός       | 2025 |               16
 Θεοδοσία     | Κουτουζίδου       | 2025 |               16
 Αναγνώστης   | Κούρτης           | 2025 |               16
 Θεοφύλακτη   | Κωστοπούλου       | 2025 |               16
 Κλεόπας      | Πίππας            | 2025 |               16
 Αυγέρης      | Πουφτσής          | 2025 |               16
 Ευσεβία      | Σκαβέντζου        | 2025 |               16
(148 rows)

